Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
replication fork (GO:0005657)	1/26	0.0244239922727901882792966858914951444603502750396728515625	0.06309531337137465334397035121583030559122562408447265625	0.034095162227010124278425706734196864999830722808837890625	0.08807916908644282394380553569135372526943683624267578125	-1.377740931023109	3.8068480702811875	CHEK1
transcription factor TFTC complex (GO:0033276)	1/14	0.01322245510584363348272063376498408615589141845703125	0.045544012031239179683073103888091281987726688385009765625	0.0190791059978478727554573879388044588267803192138671875	0.06604502995667950460134676404777565039694309234619140625	-1.2149078461895724	3.752942819511252	SUPT3H
mismatch repair complex (GO:0032300)	1/16	0.015097800855745246995098796105594374239444732666015625	0.047339087536464700967098195860671694390475749969482421875	0.0215969450964447369500920359541851212270557880401611328125	0.0674724814999853872432566959105315618216991424560546875	-1.2123791323374662	3.698264279583004	PMS2
nucleolar part (GO:0044452)	1/39	0.036423008501687066662544367545706336386501789093017578125	0.083638019522392526017284808403928764164447784423828125	0.05011828781373807439880607716986560262739658355712890625	0.11951284017122155989287790589514770545065402984619140625	-1.4677386987605032	3.6418370427273143	POLR2L
DNA-directed RNA polymerase III complex (GO:0005666)	1/17	0.0160342070688025591096437239002625574357807636260986328125	0.047339087536464700967098195860671694390475749969482421875	0.0228535824435434353762985892899450846016407012939453125	0.0674724814999853872432566959105315618216991424560546875	-1.1894115692462321	3.6282035898995586	POLR2L
STAGA complex (GO:0030914)	1/13	0.012283514132556516695871096089831553399562835693359375	0.045544012031239179683073103888091281987726688385009765625	0.0178179007943719512618852007790337665937840938568115234375	0.06604502995667950460134676404777565039694309234619140625	-1.1547797034421357	3.567202409419828	SUPT3H
DNA-directed RNA polymerase I complex (GO:0005736)	1/13	0.012283514132556516695871096089831553399562835693359375	0.045544012031239179683073103888091281987726688385009765625	0.0178179007943719512618852007790337665937840938568115234375	0.06604502995667950460134676404777565039694309234619140625	-1.1234374721011242	3.470383870937564	POLR2L
SMN complex (GO:0032797)	1/11	0.0104030923894243010341398303353344090282917022705078125	0.045544012031239179683073103888091281987726688385009765625	0.01529091043295060549367381241836483241058886051177978515625	0.06604502995667950460134676404777565039694309234619140625	-1.0525356912671444	3.2513628726733677	IGHMBP2
histone acetyltransferase complex (GO:0000123)	1/78	0.07158678270516820318913886467271368019282817840576171875	0.126810872220583681357908290010527707636356353759765625	0.096699829907966605713198759985971264541149139404296875	0.1729235059462887746928316801131586544215679168701171875	-1.563464800414852	3.2286462717798527	SUPT3H
acetyltransferase complex (GO:1902493)	1/86	0.0786479855431311547508954618024290539324283599853515625	0.1283203974651087320157927251784713007509708404541015625	0.10598537461224151468019982758050900883972644805908203125	0.1729235059462887746928316801131586544215679168701171875	-1.570573417587987	3.224740664091983	SUPT3H
RNA polymerase II transcription factor complex (GO:0090575)	1/58	0.05370879753673800383051428752878564409911632537841796875	0.1109981815759251977393518018288887105882167816162109375	0.073087274400279067521069009671919047832489013671875	0.1618361076006179233299775432897149585187435150146484375	-1.453995150942224	3.19623242344432	SUPT3H
chromosome, telomeric region (GO:0000781)	1/53	0.049188609430871721439615384952048771083354949951171875	0.10516185464531195570270227790388162247836589813232421875	0.067094020184119973482239629447576589882373809814453125	0.154067750052423624307351701645529828965663909912109375	-1.4130940201488233	3.1826475676804717	CHEK1
protein acetyltransferase complex (GO:0031248)	1/86	0.0786479855431311547508954618024290539324283599853515625	0.1283203974651087320157927251784713007509708404541015625	0.10598537461224151468019982758050900883972644805908203125	0.1729235059462887746928316801131586544215679168701171875	-1.5450575417127883	3.172350828893421	SUPT3H
nuclear transcription factor complex (GO:0044798)	1/81	0.0742407205895840582865474743812228552997112274169921875	0.1278590187931725463688081845248234458267688751220703125	0.10019249539262635451120075913422624580562114715576171875	0.1729235059462887746928316801131586544215679168701171875	-1.434844189457543	2.9512263238273793	SUPT3H
proteasome complex (GO:0000502)	1/63	0.058208622428032825990573684293849510140717029571533203125	0.11641724485606565198114736858769902028143405914306640625	0.07904427737559986677506884689137223176658153533935546875	0.1633581732429063848588413065954227931797504425048828125	-1.3704494587941707	2.947253800741883	RAD23B
DNA polymerase complex (GO:0042575)	1/14	0.01322245510584363348272063376498408615589141845703125	0.045544012031239179683073103888091281987726688385009765625	0.0190791059978478727554573879388044588267803192138671875	0.06604502995667950460134676404777565039694309234619140625	-0.9476245868365969	2.9272844849219872	POLE2
PML body (GO:0016605)	1/68	0.06268817076998838000445601892351987771689891815185546875	0.11777777538603877161005328844112227670848369598388671875	0.0849652347658930995333292912619072012603282928466796875	0.169930469531786199066658582523814402520656585693359375	-1.3420630894481098	2.8706134808691006	TOPBP1
pore complex (GO:0046930)	1/78	0.07158678270516820318913886467271368019282817840576171875	0.126810872220583681357908290010527707636356353759765625	0.096699829907966605713198759985971264541149139404296875	0.1729235059462887746928316801131586544215679168701171875	-1.3817949290584208	2.8534873601791366	BCL2
endocytic vesicle membrane (GO:0030666)	1/94	0.08565828941221968750863169361764448694884777069091796875	0.1361747165014774718638790318436804227530956268310546875	0.11518102822790880768177856907641398720443248748779296875	0.1831083012853934877117723090123035944998264312744140625	-1.3759680964151522	2.7434279458200246	UBB
site of polarized growth (GO:0030427)	1/102	0.092618040963947712018722313587204553186893463134765625	0.14005654975035997100718532237806357443332672119140625	0.12428760706688431192379340473053161986172199249267578125	0.1879471131255323890218988935885136015713214874267578125	-1.3785337639532256	2.709796241964991	IGHMBP2
growth cone (GO:0030426)	1/99	0.090014036317312362545095538735040463507175445556640625	0.13952175629183416472045564660220406949520111083984375	0.1208830269226701947804514247764018364250659942626953125	0.1873686917301387866441331198075204156339168548583984375	-1.3680333574941148	2.6943892104773473	IGHMBP2
MCM complex (GO:0042555)	1/11	0.0104030923894243010341398303353344090282917022705078125	0.045544012031239179683073103888091281987726688385009765625	0.01529091043295060549367381241836483241058886051177978515625	0.06604502995667950460134676404777565039694309234619140625	-0.8449667250711982	2.610166535287217	MCM6
mitochondrial outer membrane (GO:0005741)	1/118	0.10638726261395614614002624875865876674652099609375	0.155857085831955732846410001002368517220020294189453125	0.142236771143206042200546335152466781437397003173828125	0.20828526720034978847451156980241648852825164794921875	-1.328407842550005	2.469265497316801	BCL2
microtubule cytoskeleton (GO:0015630)	1/120	0.1080944304963563917798552438398473896086215972900390625	0.155857085831955732846410001002368517220020294189453125	0.144455911122823243974977458492503501474857330322265625	0.20828526720034978847451156980241648852825164794921875	-1.2846941680883825	2.3880098281980304	PMS2
chromosomal region (GO:0098687)	1/124	0.11149950138089902151872223612372181378304958343505859375	0.1571129337639940726223386491255951113998889923095703125	0.148877990526700421103356575258658267557621002197265625	0.2097826230148960580113026708204415626823902130126953125	-1.284813213122092	2.377919972055499	CHEK1
organelle outer membrane (GO:0031968)	1/131	0.11742876061400957243829878962060320191085338592529296875	0.1617907368459687578177153000069665722548961639404296875	0.1565649094645149286275653821576270274817943572998046875	0.215711653039998341174765528194257058203220367431640625	-1.2963927335066412	2.3613165235701405	BCL2
outer membrane (GO:0019867)	1/137	0.1224811285084375922505017797448090277612209320068359375	0.1650832601635463248168633754175971262156963348388671875	0.1631016437833230636744730190912378020584583282470703125	0.219832650316652833399899691357859410345554351806640625	-1.3021343132984944	2.345541472801851	BCL2
nuclear membrane (GO:0031965)	1/149	0.13250377836421745048056664018076844513416290283203125	0.1747922182676911184717738478866522200405597686767578125	0.1760323320671661473379998597010853700339794158935546875	0.2322128635779638627933962879978935234248638153076171875	-1.2714334984315845	2.2175800618359096	BCL2
axon (GO:0030424)	1/161	0.142417913420359643072998778734472580254077911376953125	0.1839564715012978746155880571677698753774166107177734375	0.18877481278330066061243996955454349517822265625	0.2438341331784300292095934992175898514688014984130859375	-1.2708837485465276	2.1516775048379504	IGHMBP2
endosome membrane (GO:0010008)	1/175	0.15384873431156587120227641207748092710971832275390625	0.19466574545545067831398000635090284049510955810546875	0.203406594352431024930183411925099790096282958984375	0.257371609180627014534792351696523837745189666748046875	-1.2720184026052141	2.0816216306646775	UBB
endosomal part (GO:0044440)	1/200	0.1739027682769471450097142906088265590369701385498046875	0.21563943266341445426093059722916223108768463134765625	0.2289189114047098516646627786030876450240612030029296875	0.28385945014184021939485091934329830110073089599609375	-1.3483157149558922	2.0685152633264976	UBB
nuclear body (GO:0016604)	1/210	0.1817976070222687978716891166186542250216007232666015625	0.221008855595699327256653532458585686981678009033203125	0.2389068697277291486447126089842640794813632965087890625	0.290435802414102106627780131020699627697467803955078125	-1.3363882475383615	2.017348230330221	TOPBP1
cytoplasmic vesicle membrane (GO:0030659)	1/229	0.1966012847021829934579528753602062352001667022705078125	0.234409224067987420614400662088883109390735626220703125	0.257549423512773267841424740254296921193599700927734375	0.307078158803691214639997042468166910111904144287109375	-1.3140681234146234	1.906301373222291	UBB
vesicle membrane (GO:0012506)	1/249	0.2119097911144997847809889890413614921271800994873046875	0.247894472624509198954712019258295185863971710205078125	0.276708367644355412995338383552734740078449249267578125	0.32369658101792520010775433547678403556346893310546875	-1.3273090783500077	1.8512671734677477	UBB
chromatin (GO:0000785)	1/289	0.241701657470180630848943792443606071174144744873046875	0.272463686602749055598593486138270236551761627197265625	0.31363882848624824450922687901766039431095123291015625	0.35355649756631624125446933248895220458507537841796875	-1.323289620857394	1.7206072420929424	CHEK1
transcription factor complex (GO:0005667)	1/268	0.226196575911204178499502859267522580921649932861328125	0.2597071797499010958887311062426306307315826416015625	0.294477544990914663625147795755765400826930999755859375	0.338103847952531622045313497437746264040470123291015625	-1.2691715909725567	1.7110977917771648	SUPT3H
nuclear chromosome part (GO:0044454)	1/327	0.26901313905077584021086067878059111535549163818359375	0.297835975377644668338206201951834373176097869873046875	0.347072708243181538012578357665915973484516143798828125	0.38425906984066526828058840692392550408840179443359375	-1.3208572286386324	1.5998386040392523	POLE2
cytoplasmic vesicle part (GO:0044433)	1/363	0.2940254240210793401644195910193957388401031494140625	0.31981712788257754542797783869900740683078765869140625	0.377327809049452678191727272860589437186717987060546875	0.41042673966782572403388940074364654719829559326171875	-1.2890706372101306	1.469548160179325	UBB
mitochondrial membrane (GO:0031966)	1/457	0.3555687302631242996397986644296906888484954833984375	0.37364849620870688173823737088241614401340484619140625	0.45022636819056316426213015802204608917236328125	0.4731192343697443458694351647864095866680145263671875	-1.249166499416778	1.229729185390639	BCL2
endoplasmic reticulum membrane (GO:0005789)	1/449	0.350535688138650602940771250359830446541309356689453125	0.37364849620870688173823737088241614401340484619140625	0.444349725940492656928171300023677758872509002685546875	0.4731192343697443458694351647864095866680145263671875	-1.2088397087370273	1.190029888719473	BCL2
nucleotide-excision repair complex (GO:0000109)	1/8	0.007576099466951805548597942419064565910957753658294677734375	0.042701651541001084400051013290067203342914581298828125	0.0114889490122757030599043304164297296665608882904052734375	0.06475589443282668555834646895164041779935359954833984375	-0.2544035100002376	0.8022659670774623	RAD23B
extracellular space (GO:0005615)	1/1120	0.665614469752108472988538778736256062984466552734375	0.68780161874384548870153821553685702383518218994140625	0.7776191897271811370728755719028413295745849609375	0.8035398293847537676271031159558333456516265869140625	-1.103631509555062	0.41303942020695816	CHEK1
mitochondrion (GO:0005739)	1/1269	0.71236835186683367115989540252485312521457672119140625	0.72404652156956872399717894950299523770809173583984375	0.819781073696967066410934421583078801631927490234375	0.8332201076919993898428629108821041882038116455078125	-1.1823064056040877	0.3817663036936759	BCL2
extracellular vesicular exosome (GO:0070062)	2/2717	0.75135117327872735781824076184420846402645111083984375	0.75135117327872735781824076184420846402645111083984375	0.891468107467085157935571260168217122554779052734375	0.891468107467085157935571260168217122554779052734375	-1.0737937381831955	0.30697843992584317	UBB;TAOK1
