sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RAD9A_2	RAD9A	453.7/406.45/387.5/427.57/478.19/420.22	106.6/100.81/98.319/106.5/101.79/86.491	427.91	99.844	1069	858.6	11.196	2.1295e-29	1	4.2591e-29	1.1345e-26	False
ANAPC5_2	ANAPC5	421.65/443.15/433.67/433.77/391.35/400.5	126.42/106.46/115.59/86.684/92.271/84.468	420.26	100.83	422.98	843.23	11	1.9124e-28	1	3.8247e-28	9.3387e-26	False
CDC7_4	CDC7	607.18/609.68/601.86/608.52/647.35/594.68	189.29/235.53/225.87/255.1/243.86/238.48	611.32	230.35	338.54	1226.8	10.877	7.4484e-28	1	1.4897e-27	3.3575e-25	False
POLR2I_4	POLR2I	323.83/320.37/359.47/314.79/329.32/323.13	54.668/32.975/69.089/41.278/54.923/88.768	328.17	54.103	252.99	658.39	10.681	6.2253e-27	1	1.2451e-26	2.6057e-24	False
PLK1_5	PLK1	278.29/323.19/301.75/322.23/327.06/332.23	69.702/44.28/75.732/58.615/57.852/70.306	313.55	61.805	416.43	629.03	10.037	5.2148e-24	1	1.043e-23	2.0372e-21	False
PRIM1_2	PRIM1	345.75/351.41/410.58/322.23/360.89/370.16	106.6/91.387/93.005/70.998/79.821/103.18	359.19	89.955	874.32	720.64	10.029	5.6713e-24	1	1.1343e-23	2.0771e-21	False
ORC1_1	ORC1	441.89/412.1/466.65/487.06/504.12/449.04	143.5/162.99/164.75/156.86/169.89/136.82	459.15	155.34	1094.4	921.31	10.009	6.9478e-24	1	1.3896e-23	2.3949e-21	False
RBM14_2	RBM14	416.59/362.7/397.39/370.56/387.96/408.08	89.519/121.54/130.21/114.75/118.63/94.331	390.07	110.49	443.02	782.64	9.9939	8.1078e-24	1	1.6216e-23	2.6396e-21	False
POLR2I_6	POLR2I	485.74/354.24/440.27/379.24/385.71/427.8	115.49/115.88/142.16/109.8/147.93/129.23	409.86	125.96	2323.8	822.37	9.9001	2.0799e-23	1	4.1597e-23	6.4148e-21	False
WRN_5	WRN	455.38/445.97/445.21/420.14/465.78/456.63	179.04/153.57/158.11/148.6/158.18/122.91	447.95	152.46	246.65	898.83	9.856	3.2274e-23	1	6.4548e-23	9.4563e-21	False
CDC45_3	CDC45	526.22/577.22/527.66/556.47/521.04/530.96	247.37/220.46/237.83/151.9/199.19/254.67	539.56	215.42	488.15	1082.8	9.8506	3.4084e-23	1	6.8168e-23	9.5111e-21	False
PSMA6_2	PSMA6	580.19/492.54/535.9/463.52/548.11/587.09	207.74/187.49/244.47/191.53/217.49/222.05	532.67	210.93	2372.2	1068.9	9.8407	3.7574e-23	1	7.5149e-23	1.0008e-20	False
RAD21_6	RAD21	291.78/263.91/291.86/294.96/257.14/301.89	39.635/79.139/23.916/66.045/74.695/49.062	283.08	51.277	337.64	567.88	9.7274	1.152e-22	1	2.304e-22	2.9352e-20	False
POLR2L_2	POLR2L	364.31/328.83/357.82/337.1/356.38/392.91	103.19/119.65/81.047/75.126/125.96/87.756	355.64	96.962	506.35	713.52	9.6841	1.7618e-22	1	3.5235e-22	4.3016e-20	False
UBA52_3	UBA52	399.72/405.04/469.95/413.94/426.31/465.73	140.77/131.9/134.19/164.29/159.64/151.23	429.22	146.49	937.57	861.24	9.6341	2.8683e-22	1	5.7365e-22	6.7232e-20	False
SPDL1_2	SPDL1	613.92/690.13/644.73/639.5/678.93/676.6	308.19/270.39/330.83/329.4/321.48/299.94	656.76	309.31	855.17	1318.1	9.5702	5.3367e-22	1	1.0673e-21	1.2028e-19	False
REV3L_4	REV3L	231.06/207.46/179.73/255.31/221.05/203.28	17.084/17.901/18.601/12.383/26.363/23.52	215.03	18.769	671.32	431.29	9.4502	1.6907e-21	1	3.3814e-21	3.6695e-19	False
ANAPC5_4	ANAPC5	252.99/289.32/301.75/256.54/261.65/251.83	41.685/57.47/63.775/39.627/53.458/49.062	268.34	50.136	449.75	538.29	9.4049	2.603e-21	1	5.2061e-21	5.4478e-19	False
SMC1A_5	SMC1A	669.58/726.82/700.8/670.49/715.02/669.01	366.96/331.63/337.47/314.54/363.22/353.05	691.56	343.98	662.95	1388	9.3296	5.3154e-21	1	1.0631e-20	1.0741e-18	False
DNA2_2	DNA2	477.31/448.79/435.32/437.49/466.91/377.74	131.2/151.68/195.31/180.8/191.86/148.45	439.38	164.78	1220.9	881.63	9.2483	1.1405e-20	1	2.281e-20	2.2278e-18	False
ANAPC5_3	ANAPC5	276.6/268.15/247.34/301.16/262.78/279.13	49.885/81.966/41.188/55.313/69.569/48.557	272.03	56.191	326.06	545.7	9.2397	1.2357e-20	1	2.4714e-20	2.3358e-18	False
ANAPC10_5	ANAPC10	293.47/306.25/270.43/327.19/309.02/304.92	99.086/102.69/34.545/85.858/61.514/106.72	301.38	76.362	356.29	604.6	9.1512	2.8157e-20	1	5.6313e-20	5.1562e-18	False
RFC3_1	RFC3	161.91/208.87/166.54/169.79/166.91/165.36	10.934/3.7685/5.3146/1.6511/8.7877/3.2877	172.55	4.697	311.93	346.06	9.0232	8.2508e-20	1	1.6502e-19	1.4651e-17	False
PSMC4_1	PSMC4	527.91/484.08/506.22/549.03/537.96/591.64	239.17/212.92/267.06/238.59/226.28/244.05	531.74	237.44	1372.7	1067.1	9.0095	1.0347e-19	1	2.0694e-19	1.7834e-17	False
ERCC3_4	ERCC3	799.45/877.83/816.22/816.73/822.16/825.26	444.86/471.07/447.75/411.95/508.95/482.28	825.92	460.11	717.65	1657.8	8.9845	1.2997e-19	1	2.5994e-19	2.1761e-17	False
ANAPC4_6	ANAPC4	359.25/392.34/339.68/382.96/360.89/405.05	120.27/141.32/132.86/125.49/146.46/109.25	372.7	128.65	589.6	747.77	8.9247	2.2353e-19	1	4.4707e-19	3.5403e-17	False
PSMB6_4	PSMB6	175.41/167.94/181.38/157.4/171.42/156.25	5.4668/3.7685/9.3005/4.9534/5.8584/1.2645	168.06	4.4012	99.179	337.03	8.9144	2.1791e-19	1	4.3582e-19	3.5403e-17	False
PSMB7_1	PSMB7	290.1/256.86/270.43/307.36/267.29/268.51	51.252/74.429/70.418/69.347/66.64/76.123	276.26	67.49	341.92	554.18	8.8682	3.7168e-19	1	7.4336e-19	5.7317e-17	False
POLR2E_4	POLR2E	430.08/436.09/333.08/451.12/430.82/435.39	143.5/193.14/191.32/126.31/153.05/174.25	417.37	161.68	1852.2	837.45	8.8357	4.9758e-19	1	9.9516e-19	7.4764e-17	False
UBE2C_1	UBE2C	1013.6/1110.7/1068.5/1254.2/1141.3/1081.6	662.85/665.15/704.18/700.9/679.58/746.05	1109.2	692.54	6722	2226.8	8.8301	5.2277e-19	1	1.0455e-18	7.6586e-17	False
CDC23_5	CDC23	352.5/330.24/382.55/402.79/342.85/371.67	138.72/130.96/120.91/147.78/110.58/112.03	362.94	126.1	726.08	728.18	8.7768	8.4109e-19	1	1.6822e-18	1.2021e-16	False
MDM2_6	MDM2	328.89/373.99/359.47/327.19/367.66/376.22	120.95/125.3/131.54/126.31/130.35/133.02	354.99	127.85	489.4	712.21	8.5112	8.6069e-18	1	1.7214e-17	1.2009e-15	False
PSMB4_1	PSMB4	241.18/244.15/222.61/230.52/223.3/239.69	45.101/50.875/69.089/45.406/48.332/44.763	233.42	49.973	88.508	468.2	8.4779	1.1463e-17	1	2.2926e-17	1.5622e-15	False
ATR_4	ATR	568.38/588.51/550.74/535.4/517.66/524.89	235.76/252.49/310.9/274.09/235.8/307.02	547.04	267.6	735.71	1097.8	8.434	1.6705e-17	1	3.3409e-17	2.2248e-15	False
UBB_1	UBB	295.16/251.21/263.83/242.91/233.45/265.48	62.185/57.47/73.075/52.836/86.412/70.559	257.94	66.196	469.44	517.41	8.4295	1.7364e-17	1	3.4729e-17	2.2612e-15	False
GAPDH_4	GAPDH	325.51/321.78/280.32/292.49/270.67/271.55	88.153/73.487/95.662/80.905/106.92/90.538	292.88	88.649	601.23	587.55	8.4257	1.7929e-17	1	3.5858e-17	2.284e-15	False
PSMA7_3	PSMA7	485.74/469.96/544.15/499.46/517.66/473.31	208.42/234.59/215.24/240.24/254.84/240.76	497.71	231.8	813.17	998.74	8.4142	1.9776e-17	1	3.9552e-17	2.4657e-15	False
XRCC5_1	XRCC5	345.75/414.92/357.82/371.8/364.28/394.43	157.85/151.68/182.02/126.31/128.15/139.09	374.13	146.32	649.96	750.63	8.3148	4.5938e-17	1	9.1876e-17	5.6083e-15	False
PSMA6_4	PSMA6	290.1/290.73/311.65/287.53/296.61/277.62	92.936/72.544/100.98/99.893/101.06/92.814	292.19	92.781	127.76	586.16	8.2364	8.8699e-17	1	1.774e-16	1.0608e-14	False
CDC20_4	CDC20	369.37/372.58/395.74/386.68/382.32/414.15	144.19/117.77/212.58/150.25/199.92/141.12	386.52	157.57	270.92	775.51	8.2216	1.0042e-16	1	2.0085e-16	1.177e-14	False
RPA3_6	RPA3	452.01/461.5/427.07/451.12/442.1/456.63	217.99/232.71/259.08/177.5/159.64/189.67	448.26	203.32	150.85	899.46	8.1673	1.5774e-16	1	3.1548e-16	1.8124e-14	False
NIPBL_4	NIPBL	249.62/263.91/310/255.31/226.69/257.89	78.586/81.966/81.047/59.44/65.908/77.893	259.42	73.628	753.06	520.39	8.1445	1.9038e-16	1	3.8075e-16	2.1454e-14	False
POLR2J_5	POLR2J	261.42/245.57/258.88/265.22/287.59/224.52	103.19/59.355/103.63/50.359/63.711/67.777	256.47	71.892	442.98	514.47	8.1378	2.0126e-16	1	4.0253e-16	2.2253e-14	False
PSMD14_2	PSMD14	136.61/187.7/169.84/164.83/157.89/154.74	21.184/15.074/19.93/9.0812/19.04/14.921	161.19	15.947	289.5	323.26	8.0783	3.2827e-16	1	6.5653e-16	3.5623e-14	False
UBE2I_1	UBE2I	396.35/431.86/415.53/431.29/390.22/394.43	188.61/167.7/163.42/178.32/208.71/192.2	409.59	182.52	356.53	821.81	7.9206	1.1815e-15	1	2.363e-15	1.2588e-13	False
FEN1_4	FEN1	300.21/275.2/273.72/312.32/306.76/321.61	131.89/86.677/112.93/95.765/114.24/96.607	297.75	105.32	390.87	597.32	7.8737	1.7215e-15	1	3.443e-15	1.8014e-13	False
TOP2A_1	TOP2A	386.23/338.71/356.17/390.39/424.05/395.94	166.74/154.51/172.72/176.67/147.93/166.15	380.9	163.81	919.66	764.23	7.8529	2.0321e-15	1	4.0643e-15	2.0892e-13	False
SUMO1_5	SUMO1	583.56/657.67/682.66/692.8/632.69/640.19	333.48/393.81/394.61/350.86/418.88/308.54	647.24	364.62	1550.9	1299	7.8416	2.2247e-15	1	4.4494e-15	2.2477e-13	False
RPA3_2	RPA3	345.75/402.22/392.45/370.56/396.98/382.29	191.34/177.12/178.04/156.03/143.53/146.18	381.22	164.41	437.63	764.87	7.8393	2.2658e-15	1	4.5316e-15	2.2504e-13	False
CHEK1_3	CHEK1	124.81/131.25/131.91/127.65/156.76/175.98	25.967/8.4792/6.6432/3.3022/17.575/7.0812	140.25	9.2102	419.32	281.24	7.8137	2.7451e-15	1	5.4901e-15	2.681e-13	False
RPA1_2	RPA1	382.86/381.05/372.66/365.61/369.92/338.3	172.21/179.01/144.82/170.89/140.6/137.32	368.09	156.57	260.81	738.52	7.7836	3.5233e-15	1	7.0466e-15	3.3847e-13	False
POLR2C_6	POLR2C	332.26/280.85/263.83/329.67/330.44/342.85	121.64/92.329/127.55/132.09/127.42/108.49	311.84	117.38	1061.6	625.59	7.7745	3.7886e-15	1	7.5772e-15	3.5808e-13	False
MCM3_6	MCM3	328.89/364.12/291.86/342.06/294.35/353.47	116.17/149.8/207.27/96.591/120.1/108.75	327.94	128.73	918.04	657.92	7.7666	4.0318e-15	1	8.0637e-15	3.7502e-13	False
GINS4_3	GINS4	247.93/252.62/239.1/209.45/225.56/239.69	79.269/57.47/85.033/71.824/49.797/73.088	235.27	68.274	251.32	471.91	7.6872	7.5182e-15	1	1.5036e-14	6.8838e-13	False
CDC23_1	CDC23	173.72/179.24/187.98/167.31/188.34/185.08	45.785/29.206/39.859/30.546/39.545/25.29	180.11	34.301	71.949	361.22	7.6717	8.4841e-15	1	1.6968e-14	7.6488e-13	False
TUBB_5	TUBB	349.13/369.76/310/318.51/340.59/361.05	171.52/105.52/182.02/144.47/161.11/104.19	340.83	141.39	552.69	683.78	7.6267	1.2039e-14	1	2.4079e-14	1.0689e-12	False
PLK1_2	PLK1	484.05/537.71/544.15/597.37/533.45/505.17	275.39/270.39/298.94/305.46/280.47/271.11	532.5	283.3	1493	1068.6	7.6232	1.2371e-14	1	2.4743e-14	1.082e-12	False
GAPDH_5	GAPDH	210.83/248.39/237.45/228.04/262.78/276.1	76.536/97.04/69.089/56.138/79.089/77.64	242.97	74.924	561.19	487.36	7.6119	1.3504e-14	1	2.7008e-14	1.1637e-12	False
HAUS7_1	HAUS7	392.98/399.4/402.34/353.21/346.23/330.71	188.61/165.82/160.77/191.53/139.87/138.34	369.72	162.82	966.29	741.78	7.5965	1.521e-14	1	3.042e-14	1.2918e-12	False
RAD9A_1	RAD9A	172.03/194.76/230.85/204.49/250.37/189.63	52.618/48.049/47.831/69.347/41.741/59.431	205.4	52.445	829.24	411.97	7.5359	2.4256e-14	1	4.8513e-14	2.0306e-12	False
RUVBL1_3	RUVBL1	195.65/207.46/222.61/218.13/226.69/209.35	62.869/49.933/66.432/62.743/49.064/60.19	213.06	58.145	130.17	427.33	7.4937	3.3485e-14	1	6.697e-14	2.7637e-12	False
TOP2A_4	TOP2A	291.78/311.9/308.35/296.2/248.12/312.51	99.086/132.84/103.63/118.06/122.3/102.93	293.9	112.5	597	589.6	7.4708	3.9845e-14	1	7.9691e-14	3.243e-12	False
POLR2D_2	POLR2D	199.02/222.99/187.98/226.8/225.56/216.94	47.835/47.107/83.704/56.138/58.584/66.765	212.69	58.822	257.26	426.61	7.4497	4.6761e-14	1	9.3521e-14	3.7537e-12	False
TRRAP_6	TRRAP	269.86/282.26/267.13/267.7/297.74/300.37	119.59/94.214/90.348/108.15/125.22/91.549	280.5	103.96	230.22	562.7	7.4426	4.9363e-14	1	9.8725e-14	3.909e-12	False
RPS27A_3	RPS27A	269.86/323.19/248.99/263.98/318.04/267	103.87/130.01/90.348/115.58/104.72/87.503	280.47	104.37	958.66	562.64	7.4244	5.6665e-14	1	1.1333e-13	4.4274e-12	False
TAF5L_3	TAF5L	463.82/454.44/466.65/547.79/487.21/532.48	304.09/259.09/239.16/265.83/253.38/242.78	490.8	259.89	1526.3	984.87	7.358	9.3324e-14	1	1.8665e-13	7.1957e-12	False
PPP4R2_6	PPP4R2	600.43/509.48/488.08/575.06/473.67/514.27	274.02/270.39/320.2/283.17/281.21/299.94	524.9	287.66	2510.1	1053.3	7.3098	1.3381e-13	1	2.6762e-13	1.0183e-11	False
PSMA7_6	PSMA7	104.57/183.47/118.72/136.33/129.7/112.26	15.717/24.496/6.6432/6.6045/12.449/13.404	128.59	11.896	802.76	257.85	7.2672	1.8291e-13	1	3.6582e-13	1.3742e-11	False
GINS3_1	GINS3	173.72/194.76/184.68/182.18/218.79/195.7	38.951/36.743/77.061/53.661/45.403/53.615	191.12	49.331	244.8	383.32	7.2422	2.2066e-13	1	4.4132e-13	1.6368e-11	False
PSMC3_3	PSMC3	278.29/342.95/295.16/301.16/333.83/317.06	115.49/125.3/114.26/162.64/140.6/132.27	310.6	130.77	599.79	623.12	7.2042	2.9202e-13	1	5.8403e-13	2.139e-11	False
RPA2_4	RPA2	263.11/293.55/308.35/313.55/302.25/318.58	144.19/127.19/151.46/103.2/100.33/134.29	299.31	125.26	401.62	600.46	7.1031	6.0995e-13	1	1.2199e-12	4.4127e-11	False
TOP2A_3	TOP2A	182.15/177.82/155/187.14/209.77/177.49	53.302/57.47/45.174/34.674/48.332/42.487	180.85	46.303	313.27	362.7	7.0646	8.0525e-13	1	1.6105e-12	5.7546e-11	False
TUBB4B_6	TUBB4B	514.41/460.08/469.95/508.13/510.89/496.07	269.92/275.1/263.07/244.37/289.26/288.81	492.8	271.31	526.56	988.88	7.0436	9.3642e-13	1	1.8728e-12	6.6114e-11	False
INO80_3	INO80	379.49/397.99/347.93/337.1/375.56/373.19	174.94/146.97/156.78/182.45/218.23/191.19	367.98	176.94	494.59	738.28	7.0308	1.0267e-12	1	2.0533e-12	7.1622e-11	False
RRM2_4	RRM2	290.1/278.03/219.31/263.98/248.12/279.13	123.69/97.04/103.63/94.114/99.594/94.331	261.99	101.6	671.83	525.55	6.9965	1.3124e-12	1	2.6248e-12	9.0479e-11	False
PSMC2_2	PSMC2	578.5/572.99/550.74/599.84/536.83/529.44	366.28/338.23/340.13/364.9/286.33/275.41	560.85	326.55	728.99	1125.5	6.984	1.4341e-12	1	2.8682e-12	9.7719e-11	False
RUVBL1_4	RUVBL1	118.06/103.02/128.62/112.78/112.78/144.12	14.35/16.016/11.958/8.2556/8.0554/12.645	119.19	11.502	210.99	239	6.9661	1.6232e-12	1	3.2464e-12	1.0933e-10	False
HAUS3_4	HAUS3	519.47/496.78/488.08/525.48/479.31/517.31	323.91/294.89/269.71/298.85/252.65/263.77	504.11	282.94	358.49	1011.6	6.9537	1.7785e-12	1	3.557e-12	1.1843e-10	False
UBTF_6	UBTF	482.37/496.78/441.91/495.74/459.01/482.42	269.92/265.68/312.23/290.6/237.27/226.34	475.95	265.4	470.73	955.05	6.8132	4.7731e-12	1	9.5461e-12	3.1427e-10	False
PSMB3_4	PSMB3	357.56/368.35/339.68/385.44/330.44/354.98	197.49/166.76/170.07/165.11/168.43/180.06	355.62	174.31	388.63	713.49	6.7881	5.6823e-12	1	1.1365e-11	3.6998e-10	False
RBX1_5	RBX1	369.37/324.6/323.19/312.32/337.21/321.61	169.47/165.82/182.02/147.78/153.05/129.23	330.89	156.96	410.06	663.83	6.7507	7.3556e-12	1	1.4711e-11	4.7367e-10	False
ORC6_4	ORC6	161.91/169.36/158.3/149.96/188.34/163.84	38.951/41.454/37.202/38.801/40.277/64.236	164.87	42.665	169.26	330.65	6.7208	9.0394e-12	1	1.8079e-11	5.7577e-10	False
PPP4C_3	PPP4C	202.39/242.74/273.72/231.76/256.01/265.48	130.52/95.156/99.648/67.696/76.892/127.71	244.15	96.803	673.88	489.75	6.6583	1.3847e-11	1	2.7694e-11	8.7252e-10	False
POLR1A_2	POLR1A	114.69/114.32/95.638/111.54/125.19/144.12	15.717/11.306/21.258/18.162/19.772/8.0928	116.68	14.914	260.78	233.96	6.6533	1.4321e-11	1	2.8641e-11	8.9275e-10	False
GTF2H2_2	GTF2H2	288.41/248.39/318.24/291.25/292.1/256.38	132.57/130.96/98.319/155.21/114.24/123.92	281.47	124.65	666.61	564.64	6.5996	2.0612e-11	1	4.1224e-11	1.2714e-09	False
WRN_6	WRN	131.55/119.96/143.46/140.05/142.1/104.68	27.334/16.958/15.944/27.244/32.221/25.796	129.5	23.479	235.27	259.67	6.5792	2.3642e-11	1	4.7283e-11	1.4431e-09	False
CDC20_2	CDC20	219.26/263.91/247.34/202.01/231.2/279.13	90.886/115.88/93.005/85.858/88.609/100.15	239.05	95.241	823.74	479.5	6.5673	2.5626e-11	1	5.1252e-11	1.5481e-09	False
PSMC1_4	PSMC1	123.12/141.13/140.16/149.96/156.76/139.57	34.851/23.553/25.244/33.848/37.348/41.223	141.39	32.032	129.68	283.54	6.4947	4.1598e-11	1	8.3196e-11	2.4874e-09	False
MMS22L_1	MMS22L	188.9/163.71/164.89/182.18/171.42/203.28	54.668/67.834/85.033/50.359/40.277/47.545	178.53	55.872	237.92	358.04	6.4821	4.5236e-11	1	9.0473e-11	2.6776e-09	False
CDK1_5	CDK1	151.79/135.48/123.67/130.13/103.76/125.91	30.751/21.669/22.587/28.069/14.646/31.865	127.64	24.129	248.06	255.94	6.4701	4.8964e-11	1	9.7928e-11	2.8693e-09	False
RAD21_2	RAD21	222.63/248.39/212.71/209.45/251.5/241.21	76.536/72.544/118.25/72.649/105.45/120.38	230.37	91.981	339.58	462.08	6.4378	6.0617e-11	1	1.2123e-10	3.517e-09	False
MAD2L2_1	MAD2L2	155.17/132.66/123.67/135.09/150/115.29	35.534/21.669/31.887/19.813/44.671/30.348	134.6	29.507	231.24	269.91	6.397	7.9249e-11	1	1.585e-10	4.5529e-09	False
SF3B3_5	SF3B3	239.5/234.28/244.04/254.07/248.12/257.89	116.17/99.866/108.95/104.02/76.16/127.46	246.18	104.15	78.823	493.82	6.3914	8.2166e-11	1	1.6433e-10	4.6747e-09	False
RAD9A_4	RAD9A	156.85/175/184.68/193.34/164.66/197.21	45.785/65.007/67.761/47.883/76.16/48.81	178.02	57.437	256.62	357.03	6.3816	8.76e-11	1	1.752e-10	4.9359e-09	False
GINS1_4	GINS1	566.7/567.34/549.1/622.15/639.46/603.78	389.51/390.04/385.31/364.07/363.22/340.15	590.53	371.6	1278.4	1185.1	6.3594	1.0128e-10	1	2.0255e-10	5.6522e-09	False
ESPL1_6	ESPL1	224.32/331.66/265.48/252.83/285.33/306.44	134.62/103.63/131.54/118.06/153.05/123.16	275.43	126.43	1488.7	552.53	6.3391	1.1558e-10	1	2.3116e-10	6.3896e-09	False
H2AFX_3	H2AFX	622.36/543.35/582.07/580.01/569.54/581.02	387.46/353.3/378.66/360.77/339.79/366.7	579.26	364.11	650.57	1162.5	6.3104	1.3915e-10	1	2.783e-10	7.6208e-09	False
RBBP4_1	RBBP4	286.72/289.32/305.05/286.29/314.66/280.65	192.71/145.09/138.18/142/109.11/133.78	293.54	141.45	172.28	588.87	6.2676	1.8327e-10	1	3.6654e-10	9.9442e-09	False
PSMC5_3	PSMC5	251.3/283.67/262.18/236.72/303.38/239.69	138.04/112.11/118.25/107.32/129.62/107.23	261.77	118.22	687.16	525.09	6.2643	1.8723e-10	1	3.7446e-10	1.0066e-08	False
RAD51D_3	RAD51D	372.74/437.5/415.53/375.52/403.75/409.6	198.17/223.29/259.08/206.39/226.28/240.25	401.81	224.68	612.58	806.19	6.2383	2.2116e-10	1	4.4232e-10	1.1782e-08	False
PALB2_5	PALB2	143.36/160.89/159.95/145/168.04/198.73	55.352/52.76/63.775/39.627/50.529/38.946	161.68	49.396	406.1	324.25	6.2358	2.2473e-10	1	4.4945e-10	1.1864e-08	False
ORC6_3	ORC6	365.99/337.3/385.85/373.04/389.09/374.71	199.54/228/208.6/173.37/177.22/232.41	370.6	201.92	345.47	743.54	6.1861	3.0841e-10	1	6.1682e-10	1.6137e-08	False
TPR_2	TPR	345.75/337.3/334.73/334.62/364.28/336.78	179.04/226.11/200.62/147.78/182.34/160.09	342.09	180.89	133.34	686.31	6.1531	3.8003e-10	1	7.6005e-10	1.9708e-08	False
POLR2L_5	POLR2L	435.14/447.38/432.02/470.95/430.82/506.69	294.53/245.9/251.11/266.66/262.17/290.08	453.04	267.79	897.37	909.05	6.1442	4.0196e-10	1	8.0392e-10	2.0662e-08	False
CEP192_5	CEP192	318.77/326.01/298.46/318.51/306.76/282.17	143.5/127.19/150.14/186.58/170.63/164.64	308.08	155.91	262.07	618.06	6.1211	4.6479e-10	1	9.2957e-10	2.3684e-08	False
MCM4_5	MCM4	711.75/742.34/760.16/696.51/752.24/757	502.27/491.8/492.93/461.49/535.32/526.03	736.27	501.05	694.86	1477.7	6.1189	4.7117e-10	1	9.4234e-10	2.3802e-08	False
WEE1_3	WEE1	293.47/330.24/328.14/290.01/316.91/333.75	151.7/157.34/180.7/144.47/188.93/149.46	314.92	161.28	369.75	631.79	6.1127	4.8965e-10	1	9.7931e-10	2.4525e-08	False
RAD51C_3	RAD51C	209.14/204.64/179.73/183.42/204.13/172.94	71.752/95.156/75.732/63.568/76.16/57.408	191.82	72.375	237.76	384.71	6.0896	5.6608e-10	1	1.1322e-09	2.8112e-08	False
HAUS8_1	HAUS8	522.85/493.96/489.73/493.26/516.53/479.38	259.67/305.25/342.79/309.59/323.68/307.27	499.05	306.97	280.99	1001.4	6.07	6.3964e-10	1	1.2793e-09	3.1498e-08	False
DNAJA3_1	DNAJA3	190.59/217.34/214.36/224.32/209.77/209.35	84.053/92.329/90.348/102.37/62.246/90.538	210.69	85.999	130.07	422.59	6.0657	6.571e-10	1	1.3142e-09	3.2088e-08	False
PSMC2_4	PSMC2	226/235.69/229.2/240.43/218.79/238.17	81.319/116.82/87.69/130.44/74.695/130.24	231.26	100.93	67.77	463.87	6.0511	7.193e-10	1	1.4386e-09	3.4835e-08	False
PSMB5_6	PSMB5	234.44/278.03/248.99/277.61/298.87/289.75	148.29/117.77/114.26/131.26/130.35/142.64	270.32	130.19	609.54	542.26	6.0174	8.8611e-10	1	1.7722e-09	4.2562e-08	False
XRCC2_5	XRCC2	188.9/167.94/207.77/173.51/150/194.18	96.353/65.95/83.704/45.406/79.821/46.533	179.38	66.911	428.81	359.75	5.9295	1.5194e-09	1	3.0388e-09	7.2388e-08	False
PSMB7_6	PSMB7	406.47/365.53/339.68/395.35/357.51/421.73	211.16/174.3/216.57/211.34/260.7/235.45	379.95	216.65	1003.9	762.31	5.9145	1.6646e-09	1	3.3292e-09	7.8666e-08	False
EME1_1	EME1	502.61/454.44/506.22/514.33/451.12/464.21	286.33/295.83/381.32/230.33/322.21/291.85	481.45	297.95	817.84	966.08	5.9037	1.7771e-09	1	3.5543e-09	8.3312e-08	False
