cell_line,source,cancer,RNF168_CNA,UBE2N_CNA,RNF168_mRNA_zscore,UBE2N_mRNA_zscore,log10_IC50_BMH21,IC50_BMH21,log10_IC50_CX3543,IC50_CX3543,log10_IC50_CX5461,IC50_CX5461,log10_IC50_olaparib,IC50_olaparib,log10_IC50_cisplatin,IC50_cisplatin
MDA-MB-157,ATCC,ductal_carcinoma,1,-1,0.9613,-0.2168,-6.35,0.000000447,-3.94,0.000115,-5.07,0.00000851,-3.3,0.000501,-5.32,0.00000479
HCC1428,ATCC,NA,2,2,1.5828,2.1748,-6.01,0.000000977,-3.3,0.000501,-3.3,0.000501,-5.43,0.00000372,NA,NA
HCC202,ATCC,ductal_carcinoma,1,-1,2.8574,-2.1189,-6.3,0.000000501,-3.3,0.000501,-3.3,0.000501,-5.92,0.0000012,NA,NA
MDA-MB-134-VI,ATCC,ductal_carcinoma,0,1,-1.6248,2.3604,-6.13,0.000000741,-3.3,0.000501,-3.3,0.000501,-3.3,0.000501,NA,NA
BT-483,ATCC,ductal_carcinoma,0,1,-1.1627,1.5072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAL-85-1,DSMZ,NA,2,1,1.7812,-0.5492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU4475,ATCC,NA,0,0,1.4826,-0.2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFM-192A,DSMZ,NA,0,-1,0.0115,-1.0906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC1500,ATCC,ductal_carcinoma,1,1,1.7481,1.6163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC1569,ATCC,metaplastic_carcinoma,0,0,-0.9237,-0.1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC1599,ATCC,ductal_carcinoma,1,0,0.6231,0.4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC2157,ATCC,ductal_carcinoma,1,-1,0.208,-0.7733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC2218,ATCC,ductal_carcinoma,0,0,0.265,-0.9179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_274_T,ATCC,NA,0,0,-0.6623,-0.2641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_281_T,ATCC,NA,0,0,-1.2776,0.1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_343_T,ATCC,NA,0,0,-0.876,0.0516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_606_T,ATCC,NA,0,0,-0.8464,-0.8512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_739_T,ATCC,NA,0,0,-0.6827,-0.6028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hs_742_T,ATCC,NA,0,0,-0.593,0.5421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA-MB-415,ATCC,NA,1,1,0.9335,0.1656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA-MB-453,ATCC,NA,2,0,3.9514,-0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UACC-812,ATCC,ductal_carcinoma,0,0,-0.499,0.6528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YMB-1,HSRRB,NA,0,0,0.4317,-0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZR-75-30,ATCC,ductal_carcinoma,0,0,0.1518,0.6732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMC18,,,2,1,0.8975,0.5439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMEL,,,0,0,NA,NA,,,,,,,,,,
